date,project,type,quantity,unit_price_usd,fees_usd,note
2026-03-31,QRL,BUY,2894.34,1.7266,0,achat suite au paper google
2026-03-19,TAO,SELL,165.93,257.813536,0,vente totale des TAO
2026-02-27,TAO,BUY,87.09,183.0,0,achat DCA
2026-02-24,NOCK,BUY,152238.0,0.00657,0,achat DCA
2026-02-24,NOCK,BUY,202937.0,0.00721,0,achat DCA
2026-02-24,NOCK,BUY,135895.0,0.00736,0,achat DCA
2026-02-24,NOCK,BUY,131538.0,0.00756,0,achat DCA
2026-02-23,TAO,BUY,78.84,172.0,0,achat DCA
2026-02-23,NOCK,BUY,544587.0,0.009,0,achat DCA
2026-02-03,NOCK,BUY,458799.0,0.0108,0,achat DCA
2026-01-26,NOCK,BUY,639325.0,0.0188,0,achat DCA
2026-01-14,NOCK,BUY,332090.0,0.0323,0,achat DCA
2026-01-01,NOCK,BUY,54000.0,0.062,0,achat DCA
